volume_total;somme_largeur;somme_hauteur;somme_profondeur;max_largeur;max_hauteur;max_profondeur;boite_largeur;boite_hauteur;boite_profondeur
700;15;20;15;5;7;5;6;8.4;6
1000;20;25;20;7;9;7;8.4;10.8;8.4
800;20;22;18;7;8;6;8.4;9.6;7.2
900;22;24;20;8;9;7;9.6;10.8;8.4
750;17;21;17;6;8;6;7.2;9.6;7.2
1050;23;28;23;8;10;8;9.6;12;9.6
850;20;23;20;7;9;7;8.4;10.8;8.4
950;23;25;22;8;9;8;9.6;10.8;9.6
800;20;22;18;7;8;6;8.4;9.6;7.2
1100;25;30;25;9;11;9;10.8;13.2;10.8
900;23;24;20;8;9;7;9.6;10.8;8.4
1150;26;31;26;9;11;9;10.8;13.2;10.8
950;23;25;22;8;9;8;9.6;10.8;9.6
1200;27;32;27;10;12;10;12;14.4;12
1000;24;26;24;8;9;8;9.6;10.8;9.6
1250;28;33;28;10;12;10;12;14.4;12
1050;25;27;25;9;10;9;10.8;12;10.8
1300;30;33;30;11;12;11;13.2;14.4;13.2
1100;25;28;26;9;10;9;10.8;12;10.8
1350;31;34;31;11;12;11;13.2;14.4;13.2
1150;26;29;27;9;10;9;10.8;12;10.8
1400;32;35;32;12;13;12;14.4;15.6;14.4
1200;27;30;28;10;11;10;12;13.2;12
1450;33;36;33;12;13;12;14.4;15.6;14.4
1250;28;31;29;10;11;10;12;13.2;12
1500;34;37;34;13;14;13;15.6;16.8;15.6
1300;29;32;30;11;12;11;13.2;14.4;13.2
1550;35;38;35;13;14;13;15.6;16.8;15.6
1350;30;33;31;11;12;11;13.2;14.4;13.2
1600;36;39;36;13;14;13;15.6;16.8;15.6
1400;31;34;32;12;13;12;14.4;15.6;14.4
1650;37;40;37;14;15;14;16.8;18;16.8
1450;32;35;33;12;13;12;14.4;15.6;14.4
1700;38;41;38;14;15;14;16.8;18;16.8
1500;33;36;34;12;13;12;14.4;15.6;14.4
1750;39;42;39;14;15;14;16.8;18;16.8
1550;34;37;35;13;14;13;15.6;16.8;15.6
1800;40;43;40;15;16;15;18;19.2;18
1600;35;38;36;13;14;13;15.6;16.8;15.6
1850;41;44;41;15;16;15;18;19.2;18
1650;36;39;37;14;15;14;16.8;18;16.8
1900;42;45;42;15;16;15;18;19.2;18
1700;37;40;38;14;15;14;16.8;18;16.8
1950;43;46;43;16;17;16;19.2;20.4;19.2
1750;38;41;39;14;15;14;16.8;18;16.8
2000;44;47;44;16;17;16;19.2;20.4;19.2
1800;39;42;40;15;16;15;18;19.2;18
2050;45;48;45;16;17;16;19.2;20.4;19.2
1850;40;43;41;15;16;15;18;19.2;18
2100;46;49;46;17;18;17;20.4;21.6;20.4
1900;41;44;42;15;16;15;18;19.2;18
2150;47;50;47;17;18;17;20.4;21.6;20.4
1950;42;45;43;16;17;16;19.2;20.4;19.2
2200;48;51;48;17;18;17;20.4;21.6;20.4
2000;43;46;44;16;17;16;19.2;20.4;19.2
2250;49;52;49;18;19;18;21.6;22.8;21.6
2050;44;47;45;16;17;16;19.2;20.4;19.2
2300;50;53;50;18;19;18;21.6;22.8;21.6
2100;45;48;46;17;18;17;20.4;21.6;20.4
2350;51;54;51;18;19;18;21.6;22.8;21.6
2150;46;49;47;17;18;17;20.4;21.6;20.4
2400;52;55;52;19;20;19;22.8;24;22.8
2200;47;50;48;17;18;17;20.4;21.6;20.4
2450;53;56;53;19;20;19;22.8;24;22.8
2250;48;51;49;18;19;18;21.6;22.8;21.6
2500;54;57;54;19;20;19;22.8;24;22.8
2300;49;52;50;18;19;18;21.6;22.8;21.6
2550;55;58;55;20;21;20;24;25.2;24
2350;50;53;51;18;19;18;21.6;22.8;21.6
2600;56;59;56;20;21;20;24;25.2;24
2400;52;55;52;19;20;19;22.8;24;22.8
2650;57;60;57;20;21;20;24;25.2;24
2450;53;56;53;19;20;19;22.8;24;22.8
2700;58;61;58;21;22;21;25.2;26.4;25.2
2500;54;57;54;20;21;20;24;25.2;24
2750;59;62;59;21;22;21;25.2;26.4;25.2
2550;55;58;55;20;21;20;24;25.2;24
2800;60;63;60;21;22;21;25.2;26.4;25.2
2600;56;59;56;20;21;20;24;25.2;24
2850;61;64;61;22;23;22;26.4;27.6;26.4
2650;57;60;57;21;22;21;25.2;26.4;25.2
2900;62;65;62;22;23;22;26.4;27.6;26.4
2700;58;61;58;21;22;21;25.2;26.4;25.2
2950;63;66;63;22;23;22;26.4;27.6;26.4
2750;59;62;59;21;22;21;25.2;26.4;25.2
3000;64;67;64;23;24;23;27.6;28.8;27.6
2800;60;63;60;22;23;22;26.4;27.6;26.4
3050;65;68;65;23;24;23;27.6;28.8;27.6
