volume_total;somme_largeur;somme_hauteur;somme_profondeur;max_largeur;max_hauteur;max_profondeur;boite_largeur;boite_hauteur;boite_profondeur
1548.8;22;30;8;11;15;4;13.2;18;4.8
3200;40;53;12;10;13;6;16;21.2;7.2
3500;25;40;14;10;13;7;15;18;8.4
1900;25;33;8;5;11;4;10;13.2;4.8
6000;50;70;20;10;14;10;20;28;12
3000;40;53;12;10;13;6;16;21.2;7.2
2800;35;48;14;10;12;7;14;16.8;8.4
1800;24;32;9;8;16;4.5;12.8;20.8;5.4
6000;50;70;20;10;14;10;20;28;12
2700;27;40;13.5;9;13.3;4.5;13.5;19.8;6.75
2592;24;32;9;12;16;4.5;14.4;19.2;5.4
4320;30;45;16;15;20;6.4;18;24;7.68
5184;36;48;12;18;16;6;21.6;19.2;7.2
3528;28;37;14;14;18.5;7;16.8;22.2;8.4
3840;32;42;15;16;21;7.5;19.2;25.2;9
2304;24;32;9;12;16;4.5;14.4;19.2;5.4
3456;28;42;12;14;21;6;16.8;25.2;7.2
4032;32;44;14;16;22;7;19.2;26.4;8.4
2880;30;40;10;15;20;5;18;24;6
4320;36;48;10;18;24;5;21.6;28.8;6
3375;25;35;10;12.5;17.5;5;16.25;22.75;6.5
4320;30;40;12;15;20;6;19.5;26;7.8
6480;36;45;15;18;22.5;7.5;23.4;29.25;9.75
9600;40;50;20;20;25;10;26;32.5;13
4800;30;35;20;15;17.5;10;19.5;22.75;13
6000;30;50;15;15;25;7.5;19.5;32.5;9.75
8100;35;55;15;17.5;27.5;7.5;22.75;35.75;9.75
9600;40;60;20;20;30;10;26;39;13
7680;40;45;18;20;22.5;9;26;29.25;11.7
4500;30;45;10;15;22.5;5;19.5;29.25;6.5
4320;30;40;12;15;20;6;19.5;26;7.8
6480;36;45;15;18;22.5;7.5;23.4;29.25;9.75
7200;35;50;15;17.5;25;7.5;22.75;32.5;9.75
8000;40;50;20;20;25;10;26;32.5;13
6000;30;50;15;15;25;7.5;19.5;32.5;9.75
8100;35;55;15;17.5;27.5;7.5;22.75;35.75;9.75
9600;40;60;20;20;30;10;26;39;13
4800;30;35;20;15;17.5;10;19.5;22.75;13
6750;35;45;15;17.5;22.5;7.5;22.75;29.25;9.75
8640;40;55;18;20;27.5;9;26;35.75;11.7
7200;35;50;15;17.5;25;7.5;22.75;32.5;9.75
9600;40;60;20;20;30;10;26;39;13
7500;30;50;20;15;25;10;19.5;32.5;13
4800;30;35;20;15;17.5;10;19.5;22.75;13
5760;32;40;15;16;20;7.5;20.8;26;9.75
8640;40;50;20;20;25;10;26;32.5;13
6480;36;45;15;18;22.5;7.5;23.4;29.25;9.75
